index,storeName,placeId,address,category,phone,googleUrl,ratingText,latitude,longitude,stars,numberOfReviews
56,Kafe YOK,ChIJVwjInOf51y0R-35F1IDI3Fg,Jl. Raya Mulyosari No.32c,Kafe,"",https://www.google.com/maps/place/Kafe+YOK/data=!4m7!3m6!1s0x2dd7f9e79cc80857:0x58dcc880d4457efb!8m2!3d-7.2594157!4d112.7953459!16s%2Fg%2F11h87yqhq_!19sChIJVwjInOf51y0R-35F1IDI3Fg?authuser=0&hl=id&rclk=1,"4,0 bintang 5 Ulasan",-7.2594157,112.7953459,4,5
57,Warkop NUR ALIM,ChIJSYEv3Yr51y0RD6sdPwNv3KQ,Jl. Mulyorejo No.184,Kedai Kopi,"",https://www.google.com/maps/place/Warkop+NUR+ALIM/data=!4m7!3m6!1s0x2dd7f98add2f8149:0xa4dc6f033f1dab0f!8m2!3d-7.262743!4d112.7853777!16s%2Fg%2F11gf8fq12r!19sChIJSYEv3Yr51y0RD6sdPwNv3KQ?authuser=0&hl=id&rclk=1,"4,3 bintang 3 Ulasan",-7.262743,112.7853777,4.3,3
58,The Molla Cafe,ChIJf1xazZj71y0RzegApzZjRdg,Jl. Mojoarum II No.47,Restoran,"",https://www.google.com/maps/place/The+Molla+Cafe/data=!4m7!3m6!1s0x2dd7fb98cd5a5c7f:0xd8456336a700e8cd!8m2!3d-7.267091!4d112.7749125!16s%2Fg%2F11frqzd31h!19sChIJf1xazZj71y0RzegApzZjRdg?authuser=0&hl=id&rclk=1,"5,0 bintang 1 Ulasan",-7.267091,112.7749125,5,1
59,Xie Xie Boba Keputih,ChIJUfLIZdz71y0RQpevihgRKTk,Jl. Kejawan Gebang No.16,Bubble Tea,"",https://www.google.com/maps/place/Xie+Xie+Boba+Keputih/data=!4m7!3m6!1s0x2dd7fbdc65c8f251:0x392911188aaf9742!8m2!3d-7.2862899!4d112.8013194!16s%2Fg%2F11qphk2y54!19sChIJUfLIZdz71y0RQpevihgRKTk?authuser=0&hl=id&rclk=1,"",-7.2862899,112.8013194,"",""
60,Avere cafe,ChIJ6c8BeaX71y0RiEsKuU9mPSE,Jl. Ngagel Jaya Barat No.52,Kafe,"",https://www.google.com/maps/place/Avere+cafe/data=!4m7!3m6!1s0x2dd7fba57901cfe9:0x213d664fb90a4b88!8m2!3d-7.2922301!4d112.7515374!16s%2Fg%2F11rhwf6m4y!19sChIJ6c8BeaX71y0RiEsKuU9mPSE?authuser=0&hl=id&rclk=1,"4,4 bintang 409 Ulasan",-7.2922301,112.7515374,4.4,409
61,Salman Caffe/coffee Black,ChIJ48ssVfD51y0RubeAaS61dMI,,Kedai Kopi,"",https://www.google.com/maps/place/Salman+Caffe%2Fcoffee+Black/data=!4m7!3m6!1s0x2dd7f9f0552ccbe3:0xc274b52e6980b7b9!8m2!3d-7.2564891!4d112.7956432!16s%2Fg%2F11dym6jr2w!19sChIJ48ssVfD51y0RubeAaS61dMI?authuser=0&hl=id&rclk=1,"4,3 bintang 103 Ulasan",-7.2564891,112.7956432,4.3,103
62,Andzero,ChIJucpXV0b71y0R5XKCKB2Nt10,Jl. Nginden Intan Raya No.39,Kafe,"",https://www.google.com/maps/place/Andzero/data=!4m7!3m6!1s0x2dd7fb465757cab9:0x5db78d1d288272e5!8m2!3d-7.3045468!4d112.768486!16s%2Fg%2F11v007w6jf!19sChIJucpXV0b71y0R5XKCKB2Nt10?authuser=0&hl=id&rclk=1,"4,8 bintang 281 Ulasan",-7.3045468,112.768486,4.8,281
63,Kafe YOK,ChIJVwjInOf51y0R-35F1IDI3Fg,Jl. Raya Mulyosari No.32c,Kafe,"",https://www.google.com/maps/place/Kafe+YOK/data=!4m7!3m6!1s0x2dd7f9e79cc80857:0x58dcc880d4457efb!8m2!3d-7.2594157!4d112.7953459!16s%2Fg%2F11h87yqhq_!19sChIJVwjInOf51y0R-35F1IDI3Fg?authuser=0&hl=id&rclk=1,"4,0 bintang 5 Ulasan",-7.2594157,112.7953459,4,5
64,Warkop NUR ALIM,ChIJSYEv3Yr51y0RD6sdPwNv3KQ,Jl. Mulyorejo No.184,Kedai Kopi,"",https://www.google.com/maps/place/Warkop+NUR+ALIM/data=!4m7!3m6!1s0x2dd7f98add2f8149:0xa4dc6f033f1dab0f!8m2!3d-7.262743!4d112.7853777!16s%2Fg%2F11gf8fq12r!19sChIJSYEv3Yr51y0RD6sdPwNv3KQ?authuser=0&hl=id&rclk=1,"4,3 bintang 3 Ulasan",-7.262743,112.7853777,4.3,3
65,The Molla Cafe,ChIJf1xazZj71y0RzegApzZjRdg,Jl. Mojoarum II No.47,Restoran,"",https://www.google.com/maps/place/The+Molla+Cafe/data=!4m7!3m6!1s0x2dd7fb98cd5a5c7f:0xd8456336a700e8cd!8m2!3d-7.267091!4d112.7749125!16s%2Fg%2F11frqzd31h!19sChIJf1xazZj71y0RzegApzZjRdg?authuser=0&hl=id&rclk=1,"5,0 bintang 1 Ulasan",-7.267091,112.7749125,5,1
